"decimalLongitude","decimalLatitude"
76.406654,9.623523
76.68917,11.403898
77.68,12.02
77.0307,8.84
77.48702,10.23891
77.81189,10.298611
76.65934,12.065121
76.46667,10.433333
77.16481,8.557819
76.39111,10.485618
76.4,10.7
76.59834,12.268056
77.27522,11.196077
76.50363,12.15187
76.658585,12.312598
76.95201,12.532906
78.25282,12.816237
76.20695,12.276438
77.095795,12.14898
76.337555,9.49444
76.693,12.506
76.69654,11.41625
76.703224,10.112156
76.55528,12.612878
76.955444,8.510568
76.478294,9.466909
79.8187,10.297997
76.64824,12.136033
76.95436,10.98198
77.577385,8.6298
77.06565,10.081412
76.38714,9.448836
76.92284,11.573964
76.4,10.9
76.76667,10.583333
76.70545,10.108196
76.85206,11.046061
76.26385,9.907536
77.59334,13.116744
76.683754,12.288105
76.007454,11.974984
76.23291,10.568991
76.84284,12.318536
77.55605,8.437367
79.38353,12.24215
77.08809,12.510942
76.301895,9.93309
76.62411,10.3834
76.64708,11.530436
77.00066,12.043819
78.1,9.9
76.88164,12.931957
77.36079,12.287895
76.62319,10.537056
77.46445,13.171007
76.390686,12.255469
77.33675,12.88552
76.2964,10.3863
76.35944,12.199223
77.57217,8.595433
76.697044,11.409641
77.1,12.6
76.19606,11.934109
77.19342,10.18065
79.74688,11.94237
76.37952,10.154875
77.067566,10.151116
76.63691,12.331114
77.07016,12.156437
76.35743,9.467187
76.68951,10.1288
76.59296,12.272854
76.37744,10.53538
76.87199,10.287088
76.383,9.983
76.79313,12.84374
77.62004,12.980889
76.90113,10.344473
76.77196,10.11529
77.469124,12.67727
77.51762,8.63884
76.45323,12.126531
76.44807,11.09465
76.561554,10.293356
77.059525,10.092994
76.08211,11.55589
76.52426,12.170794
77.57982,13.071342
76.31756,11.290201
76.69247,8.752494
76.08272,11.547223
77.184525,9.574934
76.465324,9.423802
77.29277,12.921605
77.19116,9.599923
76.07481,11.994542
80.26657,12.988238
76.380615,11.384308
76.61054,12.27563
77.29979,9.590998
76.94228,11.330005
76.82956,10.472058
76.683334,10.833333
76.4934,9.514603
76.4653,9.423818
76.38382,11.44032
76.348236,10.180647
76.78212,9.454512
77.26597,10.022077
76.43075,9.55289
80.275,13.081225
76.06849,12.356751
76.27045,11.939048
76.470726,10.427715
76.73412,10.323589
77.159164,9.580783
77.73097,12.980053
76.37944,11.7225
76.4842,10.48241
76.81516,10.276411
76.68225,10.128092
77.01399,10.341265
77.061714,9.086842
76.40262,9.67326
77.43,12.3
77.467575,12.930441
76.69521,11.410117
79.818825,11.982359
76.37,11.42
76.648445,11.560662
76.68193,11.388452
76.51832,9.685472
76.719246,10.467303
77.57523,8.617666
76.58265,11.580129
76.586136,10.304142
77.57395,8.474083
76.99177,10.00507
76.8909,10.357406
77.59147,8.5559
76.99309,10.369185
77.18069,9.578894
77.14792,9.532534
76.846176,10.843205
80.23809,12.993433
77.73782,12.375818
76.75333,12.8182
76.28992,10.1669
77.206604,10.322504
77.05662,11.514812
76.57789,8.954292
76.73586,11.401126
77.19244,13.365541
77.183754,9.588919
76.6684,10.129117
76.7147,10.103647
76.72022,12.425031
76.4739,9.511656
